"013042 - RawData - C:\Program Files\Shimadzu\UVProbe\Data\Dr. Contreras\Francisco\03ZnO.spc"
"Wavelength nm."	"R%"
200.00	23.996
200.50	23.830
201.00	23.915
201.50	24.248
202.00	24.205
202.50	23.941
203.00	23.982
203.50	23.833
204.00	23.347
204.50	23.079
205.00	22.816
205.50	22.556
206.00	22.591
206.50	22.345
207.00	21.825
207.50	21.533
208.00	21.349
208.50	21.390
209.00	21.307
209.50	21.046
210.00	20.966
210.50	20.804
211.00	20.844
211.50	21.007
212.00	20.810
212.50	20.671
213.00	20.554
213.50	20.512
214.00	20.615
214.50	20.709
215.00	20.691
215.50	20.535
216.00	20.360
216.50	20.363
217.00	20.377
217.50	20.247
218.00	20.178
218.50	20.045
219.00	20.203
219.50	20.399
220.00	20.369
220.50	20.163
221.00	19.960
221.50	19.962
222.00	19.949
222.50	20.029
223.00	20.232
223.50	20.438
224.00	20.465
224.50	20.351
225.00	20.163
225.50	20.264
226.00	20.303
226.50	20.227
227.00	20.209
227.50	20.158
228.00	20.052
228.50	19.908
229.00	19.890
229.50	19.888
230.00	19.856
230.50	19.835
231.00	19.806
231.50	19.666
232.00	19.643
232.50	19.653
233.00	19.553
233.50	19.353
234.00	19.196
234.50	19.162
235.00	19.110
235.50	19.109
236.00	19.072
236.50	19.040
237.00	19.006
237.50	18.900
238.00	18.646
238.50	18.463
239.00	18.430
239.50	18.378
240.00	18.372
240.50	18.300
241.00	18.222
241.50	18.175
242.00	18.063
242.50	17.897
243.00	17.708
243.50	17.529
244.00	17.499
244.50	17.514
245.00	17.386
245.50	17.276
246.00	17.233
246.50	17.149
247.00	17.111
247.50	17.123
248.00	17.041
248.50	16.995
249.00	16.948
249.50	16.843
250.00	16.753
250.50	16.624
251.00	16.496
251.50	16.359
252.00	16.281
252.50	16.286
253.00	16.304
253.50	16.109
254.00	16.032
254.50	16.106
255.00	15.981
255.50	15.886
256.00	15.887
256.50	15.834
257.00	15.660
257.50	15.527
258.00	15.459
258.50	15.375
259.00	15.291
259.50	15.332
260.00	15.318
260.50	15.173
261.00	15.129
261.50	15.080
262.00	15.038
262.50	15.063
263.00	15.022
263.50	14.940
264.00	14.906
264.50	14.891
265.00	14.873
265.50	14.719
266.00	14.636
266.50	14.677
267.00	14.613
267.50	14.583
268.00	14.493
268.50	14.340
269.00	14.345
269.50	14.397
270.00	14.465
270.50	14.488
271.00	14.357
271.50	14.284
272.00	14.339
272.50	14.256
273.00	14.114
273.50	14.067
274.00	14.027
274.50	13.986
275.00	13.974
275.50	14.017
276.00	13.982
276.50	13.881
277.00	13.759
277.50	13.618
278.00	13.603
278.50	13.611
279.00	13.605
279.50	13.600
280.00	13.536
280.50	13.579
281.00	13.538
281.50	13.371
282.00	13.335
282.50	13.324
283.00	13.260
283.50	13.249
284.00	13.258
284.50	13.182
285.00	13.078
285.50	13.129
286.00	13.258
286.50	13.219
287.00	13.086
287.50	13.072
288.00	13.025
288.50	12.909
289.00	12.872
289.50	12.822
290.00	12.776
290.50	12.730
291.00	12.714
291.50	12.691
292.00	12.640
292.50	12.596
293.00	12.611
293.50	12.599
294.00	12.531
294.50	12.512
295.00	12.459
295.50	12.450
296.00	12.427
296.50	12.439
297.00	12.389
297.50	12.227
298.00	12.178
298.50	12.180
299.00	12.183
299.50	12.103
300.00	12.065
300.50	12.094
301.00	12.065
301.50	12.007
302.00	11.964
302.50	11.926
303.00	11.868
303.50	11.784
304.00	11.725
304.50	11.763
305.00	11.783
305.50	11.798
306.00	11.871
306.50	11.926
307.00	12.039
307.50	12.112
308.00	11.984
308.50	11.893
309.00	11.841
309.50	11.829
310.00	11.810
310.50	11.682
311.00	11.653
311.50	11.748
312.00	11.742
312.50	11.626
313.00	11.584
313.50	11.646
314.00	11.650
314.50	11.610
315.00	11.594
315.50	11.581
316.00	11.554
316.50	11.549
317.00	11.484
317.50	11.362
318.00	11.206
318.50	11.205
319.00	11.299
319.50	11.232
320.00	11.166
320.50	11.154
321.00	11.137
321.50	11.116
322.00	11.118
322.50	11.211
323.00	11.197
323.50	11.102
324.00	11.110
324.50	11.107
325.00	11.008
325.50	10.971
326.00	10.962
326.50	10.829
327.00	10.811
327.50	10.878
328.00	10.835
328.50	10.844
329.00	10.815
329.50	10.698
330.00	10.727
330.50	10.759
331.00	10.695
331.50	10.638
332.00	10.561
332.50	10.582
333.00	10.716
333.50	10.678
334.00	10.570
334.50	10.634
335.00	10.648
335.50	10.652
336.00	10.686
336.50	10.545
337.00	10.446
337.50	10.362
338.00	10.291
338.50	10.329
339.00	10.268
339.50	10.165
340.00	10.187
340.50	10.170
341.00	10.165
341.50	10.287
342.00	10.294
342.50	10.191
343.00	10.182
343.50	10.129
344.00	10.065
344.50	10.013
345.00	9.970
345.50	9.993
346.00	10.062
346.50	10.123
347.00	10.106
347.50	10.008
348.00	9.988
348.50	9.961
349.00	9.915
349.50	9.978
350.00	9.966
350.50	9.882
351.00	9.737
351.50	9.674
352.00	9.686
352.50	9.659
353.00	9.737
353.50	9.792
354.00	9.760
354.50	9.689
355.00	9.605
355.50	9.590
356.00	9.697
356.50	9.735
357.00	9.612
357.50	9.502
358.00	9.528
358.50	9.615
359.00	9.592
359.50	9.480
360.00	10.220
360.50	10.188
361.00	9.357
361.50	9.351
362.00	9.370
362.50	9.354
363.00	9.326
363.50	9.393
364.00	9.367
364.50	9.265
365.00	9.320
365.50	9.366
366.00	9.282
366.50	9.251
367.00	9.239
367.50	9.212
368.00	9.200
368.50	9.161
369.00	9.163
369.50	9.204
370.00	9.163
370.50	9.172
371.00	9.213
371.50	9.213
372.00	9.280
372.50	9.306
373.00	9.294
373.50	9.308
374.00	9.332
374.50	9.424
375.00	9.517
375.50	9.616
376.00	9.731
376.50	9.889
377.00	10.036
377.50	10.274
378.00	10.646
378.50	10.933
379.00	11.237
379.50	11.565
380.00	11.867
380.50	12.292
381.00	12.773
381.50	13.080
382.00	13.385
382.50	13.809
383.00	14.226
383.50	14.630
384.00	15.028
384.50	15.468
385.00	15.874
385.50	16.219
386.00	16.592
386.50	16.888
387.00	17.216
387.50	17.603
388.00	17.897
388.50	18.167
389.00	18.443
389.50	18.686
390.00	18.964
390.50	19.223
391.00	19.478
391.50	19.734
392.00	19.981
392.50	20.229
393.00	20.490
393.50	20.689
394.00	20.816
394.50	21.008
395.00	21.143
395.50	21.274
396.00	21.477
396.50	21.686
397.00	21.782
397.50	21.912
398.00	22.058
398.50	22.137
399.00	22.339
399.50	22.484
400.00	22.540
400.50	22.681
401.00	22.786
401.50	22.865
402.00	22.919
402.50	22.993
403.00	23.125
403.50	23.146
404.00	23.154
404.50	23.222
405.00	23.296
405.50	23.360
406.00	23.367
406.50	23.404
407.00	23.482
407.50	23.528
408.00	23.589
408.50	23.622
409.00	23.657
409.50	23.692
410.00	23.766
410.50	23.886
411.00	23.941
411.50	24.007
412.00	24.025
412.50	23.997
413.00	24.030
413.50	24.045
414.00	24.123
414.50	24.121
415.00	24.045
415.50	24.121
416.00	23.959
416.50	23.796
417.00	23.857
417.50	23.845
418.00	23.848
418.50	23.898
419.00	23.936
419.50	23.973
420.00	23.961
420.50	23.891
421.00	23.889
421.50	23.872
422.00	23.880
422.50	23.904
423.00	23.906
423.50	23.923
424.00	23.930
424.50	23.959
425.00	23.955
425.50	23.967
426.00	23.999
426.50	24.022
427.00	24.052
427.50	24.055
428.00	24.048
428.50	23.982
429.00	23.935
429.50	23.979
430.00	24.026
430.50	24.034
431.00	23.997
431.50	23.999
432.00	24.045
432.50	24.022
433.00	23.981
433.50	23.999
434.00	23.988
434.50	23.975
435.00	24.007
435.50	23.946
436.00	23.927
436.50	23.965
437.00	23.950
437.50	23.941
438.00	23.935
438.50	23.921
439.00	23.866
439.50	23.851
440.00	23.883
440.50	23.888
441.00	23.877
441.50	23.904
442.00	23.932
442.50	23.869
443.00	23.851
443.50	23.854
444.00	23.795
444.50	23.764
445.00	23.750
445.50	23.727
446.00	23.708
446.50	23.711
447.00	23.763
447.50	23.814
448.00	23.810
448.50	23.746
449.00	23.715
449.50	23.738
450.00	23.727
450.50	23.674
451.00	23.631
451.50	23.640
452.00	23.650
452.50	23.640
453.00	23.633
453.50	23.645
454.00	23.650
454.50	23.636
455.00	23.621
455.50	23.602
456.00	23.563
456.50	23.569
457.00	23.540
457.50	23.509
458.00	23.555
458.50	23.572
459.00	23.537
459.50	23.514
460.00	23.518
460.50	23.483
461.00	23.409
461.50	23.346
462.00	23.399
462.50	23.459
463.00	23.444
463.50	23.424
464.00	23.419
464.50	23.413
465.00	23.396
465.50	23.376
466.00	23.381
466.50	23.399
467.00	23.355
467.50	23.340
468.00	23.352
468.50	23.314
469.00	23.297
469.50	23.293
470.00	23.254
470.50	23.242
471.00	23.318
471.50	23.334
472.00	23.241
472.50	23.186
473.00	23.210
473.50	23.177
474.00	23.099
474.50	23.119
475.00	23.128
475.50	23.126
476.00	23.102
476.50	23.047
477.00	23.059
477.50	23.117
478.00	23.132
478.50	23.085
479.00	23.056
479.50	23.050
480.00	23.032
480.50	23.032
481.00	23.050
481.50	23.053
482.00	23.041
482.50	23.009
483.00	23.000
483.50	23.012
484.00	22.969
484.50	22.882
485.00	22.826
485.50	22.838
486.00	22.836
486.50	22.826
487.00	22.856
487.50	22.856
488.00	22.830
488.50	22.865
489.00	22.829
489.50	22.742
490.00	22.736
490.50	22.795
491.00	22.830
491.50	22.801
492.00	22.789
492.50	22.781
493.00	22.781
493.50	22.774
494.00	22.760
494.50	22.749
495.00	22.731
495.50	22.699
496.00	22.704
496.50	22.728
497.00	22.716
497.50	22.717
498.00	22.720
498.50	22.737
499.00	22.690
499.50	22.630
500.00	22.688
500.50	22.726
501.00	22.697
501.50	22.656
502.00	22.655
502.50	22.638
503.00	22.609
503.50	22.614
504.00	22.600
504.50	22.627
505.00	22.641
505.50	22.606
506.00	22.621
506.50	22.601
507.00	22.539
507.50	22.537
508.00	22.534
508.50	22.493
509.00	22.458
509.50	22.444
510.00	22.455
510.50	22.495
511.00	22.450
511.50	22.379
512.00	22.354
512.50	22.345
513.00	22.357
513.50	22.334
514.00	22.321
514.50	22.342
515.00	22.350
515.50	22.350
516.00	22.360
516.50	22.333
517.00	22.301
517.50	22.287
518.00	22.252
518.50	22.192
519.00	22.195
519.50	22.238
520.00	22.235
520.50	22.212
521.00	22.208
521.50	22.182
522.00	22.142
522.50	22.137
523.00	22.130
523.50	22.134
524.00	22.099
524.50	22.064
525.00	22.040
525.50	22.015
526.00	22.012
526.50	22.005
527.00	21.999
527.50	21.957
528.00	21.985
528.50	22.003
529.00	21.924
529.50	21.910
530.00	21.936
530.50	21.935
531.00	21.962
531.50	22.003
532.00	21.931
532.50	21.912
533.00	21.951
533.50	21.875
534.00	21.861
534.50	21.912
535.00	21.844
535.50	21.782
536.00	21.713
536.50	21.660
537.00	21.730
537.50	21.750
538.00	21.777
538.50	21.786
539.00	21.745
539.50	21.747
540.00	21.696
540.50	21.640
541.00	21.620
541.50	21.617
542.00	21.631
542.50	21.619
543.00	21.576
543.50	21.562
544.00	21.555
544.50	21.516
545.00	21.541
545.50	21.603
546.00	21.587
546.50	21.524
547.00	21.497
547.50	21.498
548.00	21.501
548.50	21.504
549.00	21.515
549.50	21.494
550.00	21.451
550.50	21.451
551.00	21.465
551.50	21.463
552.00	21.457
552.50	21.454
553.00	21.408
553.50	21.346
554.00	21.336
554.50	21.341
555.00	21.376
555.50	21.388
556.00	21.373
556.50	21.376
557.00	21.375
557.50	21.382
558.00	21.347
558.50	21.294
559.00	21.327
559.50	21.358
560.00	21.347
560.50	21.344
561.00	21.310
561.50	21.284
562.00	21.278
562.50	21.268
563.00	21.274
563.50	21.262
564.00	21.231
564.50	21.217
565.00	21.194
565.50	21.196
566.00	21.169
566.50	21.135
567.00	21.132
567.50	21.156
568.00	21.205
568.50	21.178
569.00	21.095
569.50	21.082
570.00	21.103
570.50	21.091
571.00	21.077
571.50	21.072
572.00	21.043
572.50	21.013
573.00	21.014
573.50	21.053
574.00	21.054
574.50	21.010
575.00	21.008
575.50	21.010
576.00	21.033
576.50	21.062
577.00	21.056
577.50	21.043
578.00	21.019
578.50	21.002
579.00	20.987
579.50	20.963
580.00	20.935
580.50	20.923
581.00	20.937
581.50	20.941
582.00	20.927
582.50	20.946
583.00	20.956
583.50	20.908
584.00	20.903
584.50	20.937
585.00	20.905
585.50	20.874
586.00	20.895
586.50	20.889
587.00	20.857
587.50	20.825
588.00	20.842
588.50	20.837
589.00	20.831
589.50	20.844
590.00	20.833
590.50	20.839
591.00	20.845
591.50	20.842
592.00	20.802
592.50	20.741
593.00	20.755
593.50	20.798
594.00	20.758
594.50	20.697
595.00	20.697
595.50	20.734
596.00	20.712
596.50	20.694
597.00	20.697
597.50	20.709
598.00	20.689
598.50	20.647
599.00	20.665
599.50	20.700
600.00	20.702
600.50	20.677
601.00	20.685
601.50	20.700
602.00	20.656
602.50	20.638
603.00	20.682
603.50	20.659
604.00	20.610
604.50	20.595
605.00	20.581
605.50	20.581
606.00	20.580
606.50	20.605
607.00	20.599
607.50	20.615
608.00	20.619
608.50	20.576
609.00	20.575
609.50	20.551
610.00	20.500
610.50	20.503
611.00	20.544
611.50	20.547
612.00	20.546
612.50	20.544
613.00	20.518
613.50	20.491
614.00	20.505
614.50	20.509
615.00	20.479
615.50	20.477
616.00	20.506
616.50	20.482
617.00	20.488
617.50	20.520
618.00	20.499
618.50	20.479
619.00	20.477
619.50	20.493
620.00	20.506
620.50	20.496
621.00	20.476
621.50	20.445
622.00	20.421
622.50	20.416
623.00	20.393
623.50	20.403
624.00	20.424
624.50	20.419
625.00	20.413
625.50	20.419
626.00	20.432
626.50	20.454
627.00	20.467
627.50	20.474
628.00	20.486
628.50	20.456
629.00	20.407
629.50	20.403
630.00	20.386
630.50	20.370
631.00	20.377
631.50	20.360
632.00	20.352
632.50	20.392
633.00	20.387
633.50	20.331
634.00	20.360
634.50	20.413
635.00	20.425
635.50	20.384
636.00	20.355
636.50	20.346
637.00	20.293
637.50	20.290
638.00	20.349
638.50	20.390
639.00	20.355
639.50	20.308
640.00	20.322
640.50	20.313
641.00	20.291
641.50	20.276
642.00	20.273
642.50	20.302
643.00	20.296
643.50	20.276
644.00	20.291
644.50	20.308
645.00	20.279
645.50	20.230
646.00	20.197
646.50	20.204
647.00	20.215
647.50	20.198
648.00	20.227
648.50	20.218
649.00	20.152
649.50	20.122
650.00	20.161
650.50	20.168
651.00	20.181
651.50	20.200
652.00	20.155
652.50	20.139
653.00	20.160
653.50	20.174
654.00	20.148
654.50	20.120
655.00	20.099
655.50	20.114
656.00	20.140
656.50	20.126
657.00	20.135
657.50	20.166
658.00	20.131
658.50	20.105
659.00	20.076
659.50	20.032
660.00	20.010
660.50	19.981
661.00	19.995
661.50	20.038
662.00	20.061
662.50	20.041
663.00	20.013
663.50	20.006
664.00	20.016
664.50	20.010
665.00	20.006
665.50	19.998
666.00	19.984
666.50	19.942
667.00	19.882
667.50	19.849
668.00	19.824
668.50	19.832
669.00	19.826
669.50	19.835
670.00	19.847
670.50	19.804
671.00	19.778
671.50	19.801
672.00	19.815
672.50	19.754
673.00	19.745
673.50	19.789
674.00	19.746
674.50	19.742
675.00	19.762
675.50	19.743
676.00	19.727
676.50	19.728
677.00	19.748
677.50	19.763
678.00	19.733
678.50	19.676
679.00	19.698
679.50	19.702
680.00	19.707
680.50	19.772
681.00	19.769
681.50	19.710
682.00	19.705
682.50	19.737
683.00	19.717
683.50	19.687
684.00	19.678
684.50	19.662
685.00	19.650
685.50	19.666
686.00	19.684
686.50	19.666
687.00	19.661
687.50	19.662
688.00	19.664
688.50	19.659
689.00	19.637
689.50	19.652
690.00	19.647
690.50	19.621
691.00	19.638
691.50	19.652
692.00	19.614
692.50	19.586
693.00	19.620
693.50	19.626
694.00	19.630
694.50	19.653
695.00	19.649
695.50	19.632
696.00	19.632
696.50	19.559
697.00	19.449
697.50	19.435
698.00	19.521
698.50	19.548
699.00	19.470
699.50	19.489
700.00	19.534
700.50	19.531
701.00	19.545
701.50	19.568
702.00	19.574
702.50	19.531
703.00	19.467
703.50	19.456
704.00	19.475
704.50	19.443
705.00	19.429
705.50	19.424
706.00	19.414
706.50	19.441
707.00	19.450
707.50	19.456
708.00	19.456
708.50	19.434
709.00	19.458
709.50	19.476
710.00	19.473
710.50	19.467
711.00	19.435
711.50	19.415
712.00	19.424
712.50	19.440
713.00	19.447
713.50	19.380
714.00	19.351
714.50	19.392
715.00	19.400
715.50	19.400
716.00	19.389
716.50	19.408
717.00	19.427
717.50	19.386
718.00	19.356
718.50	19.408
719.00	19.405
719.50	19.363
720.00	19.328
720.50	19.322
721.00	19.377
721.50	19.366
722.00	19.363
722.50	19.392
723.00	19.411
723.50	19.412
724.00	19.385
724.50	19.383
725.00	19.420
725.50	19.366
726.00	19.307
726.50	19.296
727.00	19.257
727.50	19.258
728.00	19.289
728.50	19.293
729.00	19.228
729.50	19.223
730.00	19.260
730.50	19.278
731.00	19.247
731.50	19.226
732.00	19.266
732.50	19.278
733.00	19.255
733.50	19.252
734.00	19.228
734.50	19.189
735.00	19.196
735.50	19.189
736.00	19.160
736.50	19.151
737.00	19.217
737.50	19.241
738.00	19.177
738.50	19.141
739.00	19.193
739.50	19.206
740.00	19.151
740.50	19.179
741.00	19.206
741.50	19.139
742.00	19.048
742.50	19.063
743.00	19.115
743.50	19.067
744.00	19.109
744.50	19.135
745.00	19.119
745.50	19.125
746.00	19.135
746.50	19.144
747.00	19.141
747.50	19.171
748.00	19.162
748.50	19.142
749.00	19.098
749.50	19.060
750.00	19.064
750.50	19.087
751.00	19.072
751.50	19.046
752.00	19.023
752.50	19.029
753.00	19.054
753.50	19.089
754.00	19.153
754.50	19.151
755.00	19.128
755.50	19.080
756.00	19.017
756.50	19.020
757.00	19.052
757.50	19.058
758.00	19.060
758.50	19.099
759.00	19.125
759.50	19.075
760.00	19.122
760.50	19.267
761.00	19.279
761.50	19.275
762.00	19.266
762.50	19.234
763.00	19.267
763.50	19.312
764.00	19.234
764.50	19.107
765.00	19.133
765.50	19.203
766.00	19.246
766.50	19.214
767.00	19.205
767.50	19.209
768.00	19.214
768.50	19.231
769.00	19.125
769.50	19.115
770.00	19.157
770.50	19.089
771.00	19.110
771.50	19.159
772.00	19.191
772.50	19.196
773.00	19.136
773.50	19.133
774.00	19.176
774.50	19.199
775.00	19.167
775.50	19.147
776.00	19.124
776.50	19.073
777.00	19.060
777.50	19.046
778.00	19.060
778.50	19.075
779.00	19.109
779.50	19.104
780.00	19.043
780.50	18.970
781.00	18.982
781.50	19.084
782.00	19.087
782.50	19.032
783.00	19.019
783.50	19.037
784.00	19.078
784.50	19.058
785.00	19.002
785.50	19.020
786.00	18.983
786.50	18.985
787.00	18.977
787.50	18.932
788.00	18.945
788.50	18.958
789.00	18.956
789.50	18.947
790.00	18.929
790.50	18.924
791.00	18.967
791.50	18.951
792.00	18.938
792.50	18.936
793.00	18.929
793.50	18.929
794.00	18.903
794.50	18.964
795.00	19.035
795.50	19.055
796.00	19.075
796.50	19.003
797.00	18.912
797.50	18.915
798.00	18.938
798.50	18.953
799.00	18.890
799.50	18.871
800.00	18.910
